"u","v","y","z","g","h"
0.001,0.001,0.9807687151391151,0.9615374302782305,0.9437300842774237,0.9349479981091461
0.001,0.0014953487812212204,0.9807687151391151,0.9435596176340028,0.9263997446408383,0.9137389366957973
0.001,0.0022360679774997894,0.9807687151391151,0.9178957857538326,0.9016401662305076,0.883538149443889
0.001,0.0033437015248821097,0.9807687151391151,0.8820204720622112,0.8669892943966185,0.8414803621595124
0.001,0.004999999999999999,0.9807687151391151,0.8333139670670372,0.8198709404941572,0.7847077191957754
0.001,0.007476743906106102,0.9807687151391151,0.7697446509392086,0.7582450670915977,0.7112566901949523
0.001,0.011180339887498947,0.9807687151391151,0.6909164249931777,0.6816218632590769,0.6213799504982875
0.001,0.016718507624410548,0.9807687151391151,0.59914243771283,0.5921265884361383,0.5188320533507214
0.001,0.024999999999999994,0.9807687151391151,0.4998256738981504,0.4949224961987713,0.41115032912264116
0.001,0.037383719530530504,0.9807687151391151,0.40049516834059085,0.3973334104282718,0.3080841967570726
0.001,0.05590169943749473,0.9807687151391151,0.30868404872424643,0.30679765276558796,0.21852154389946668
0.001,0.08359253812205272,0.9807687151391151,0.22980519662511484,0.22875534897600613,0.14765368365706966
0.001,0.12499999999999994,0.9807687151391151,0.1661824652893514,0.16563122313932938,0.09608555995009327
0.001,0.18691859765265248,0.9807687151391151,0.117427467015178,0.11715105589909922,0.06102962087545711
0.001,0.27950849718747356,0.9807687151391151,0.08151230126551892,0.08137846160416197,0.03833073150872827
0.001,0.41796269061026353,0.9807687151391151,0.05581791313363024,0.05575476207767999,0.024048940438006365
0.001,0.6249999999999997,0.9807687151391151,0.03781784083556101,0.037788605072711215,0.015163474612595254
