"M","K","u","v","CC","CD","DC","DD"
1,1,0.001,0.001,0.21811938061938063,0.21811938061938063,0.28188061938061937,0.2884230769230769
2,1,0.001,0.001,0.18623876123876126,0.18623876123876126,0.31376123876123874,0.2949655344655345
2,2,0.001,0.001,0.18623876123876126,0.18623876123876126,0.31376123876123874,0.32684615384615384
3,1,0.001,0.001,0.1543581418581419,0.1543581418581419,0.3456418581418581,0.301507992007992
3,2,0.001,0.001,0.1543581418581419,0.1543581418581419,0.3456418581418581,0.33338861138861137
3,3,0.001,0.001,0.1543581418581419,0.1543581418581419,0.3456418581418581,0.36526923076923073
1,1,0.001,0.0014953487812212204,0.22105975237040013,0.22105975237040013,0.2789402476295999,0.2884230769230769
2,1,0.001,0.0014953487812212204,0.19211950474080025,0.19211950474080025,0.30788049525919975,0.29790590621655394
2,2,0.001,0.0014953487812212204,0.19211950474080025,0.19211950474080025,0.30788049525919975,0.32684615384615384
3,1,0.001,0.0014953487812212204,0.16317925711120035,0.16317925711120035,0.33682074288879965,0.307388735510031
3,2,0.001,0.0014953487812212204,0.16317925711120035,0.16317925711120035,0.33682074288879965,0.3363289831396309
3,3,0.001,0.0014953487812212204,0.16317925711120035,0.16317925711120035,0.33682074288879965,0.36526923076923073
1,1,0.001,0.0022360679774997894,0.22512641662573576,0.22512641662573576,0.27487358337426426,0.2884230769230769
2,1,0.001,0.0022360679774997894,0.20025283325147153,0.20025283325147153,0.29974716674852847,0.3019725704718896
2,2,0.001,0.0022360679774997894,0.20025283325147153,0.20025283325147153,0.29974716674852847,0.32684615384615384
3,1,0.001,0.0022360679774997894,0.1753792498772073,0.1753792498772073,0.3246207501227927,0.31552206402070226
3,2,0.001,0.0022360679774997894,0.1753792498772073,0.1753792498772073,0.3246207501227927,0.3403956473949665
3,3,0.001,0.0022360679774997894,0.1753792498772073,0.1753792498772073,0.3246207501227927,0.3652692307692308
1,1,0.001,0.0033437015248821097,0.2305514549085338,0.2305514549085338,0.2694485450914662,0.2884230769230769
2,1,0.001,0.0033437015248821097,0.21110290981706756,0.21110290981706756,0.2888970901829324,0.30739760875468763
2,2,0.001,0.0033437015248821097,0.21110290981706756,0.21110290981706756,0.2888970901829324,0.32684615384615384
3,1,0.001,0.0033437015248821097,0.19165436472560135,0.19165436472560135,0.3083456352743986,0.3263721405862983
3,2,0.001,0.0033437015248821097,0.19165436472560135,0.19165436472560135,0.3083456352743986,0.3458206856777646
3,3,0.001,0.0033437015248821097,0.19165436472560135,0.19165436472560135,0.3083456352743986,0.3652692307692308
1,1,0.001,0.004999999999999999,0.23742693686242072,0.23742693686242072,0.2625730631375793,0.2884230769230769
