"M","K","u","v","CC","CD","DC","DD"
1,1,0.001,0.001,0.21004,0.21702148863282467,0.28297851136717533,0.28996
1,1,0.001,0.0014953487812212204,0.21004,0.22015334769709177,0.2798466523029082,0.28996
1,1,0.001,0.0022360679774997894,0.21004,0.2244785669720439,0.27552143302795606,0.28996
1,1,0.001,0.0033437015248821097,0.21004,0.2302365267100768,0.26976347328992323,0.28996
1,1,0.001,0.004999999999999999,0.21004,0.2375125,0.2624875,0.28996
1,1,0.001,0.007476743906106102,0.21004,0.24606145045774191,0.2539385495422581,0.28996
1,1,0.001,0.011180339887498947,0.21004,0.255149987092979,0.24485001290702105,0.28996
1,1,0.001,0.016718507624410548,0.21004,0.2635726622694327,0.23642733773056726,0.28996
1,1,0.001,0.024999999999999994,0.21004,0.26998,0.23002,0.28996
1,1,0.001,0.037383719530530504,0.21004,0.2734289862168598,0.2265710137831402,0.28996
1,1,0.001,0.05590169943749473,0.21004,0.2737958404523886,0.22620415954761144,0.28996
1,1,0.001,0.08359253812205272,0.21003999999999998,0.2717433102793462,0.22825668972065385,0.28996
1,1,0.001,0.12499999999999994,0.21004,0.268315,0.231685,0.28996
1,1,0.001,0.18691859765265248,0.21004,0.2644882051182092,0.2355117948817908,0.28996
1,1,0.001,0.27950849718747356,0.21004,0.26092662397265337,0.23907337602734666,0.28996
1,1,0.001,0.41796269061026353,0.21004,0.2579529868405986,0.24204701315940141,0.28996
1,1,0.001,0.6249999999999997,0.21004,0.25564101437024517,0.24435898562975486,0.28996
2,1,0.001,0.001,0.21353074431641234,0.21702148863282467,0.28297851136717533,0.28646925568358766
2,1,0.001,0.0014953487812212204,0.2150966738485459,0.22015334769709177,0.2798466523029082,0.2849033261514541
2,1,0.001,0.0022360679774997894,0.21725928348602197,0.2244785669720439,0.27552143302795606,0.28274071651397803
2,1,0.001,0.0033437015248821097,0.2201382633550384,0.2302365267100768,0.26976347328992323,0.2798617366449616
2,1,0.001,0.004999999999999999,0.22377625,0.2375125,0.2624875,0.27622375
2,1,0.001,0.007476743906106102,0.22805072522887096,0.24606145045774191,0.2539385495422581,0.27194927477112907
2,1,0.001,0.011180339887498947,0.2325949935464895,0.255149987092979,0.24485001290702105,0.2674050064535105
2,1,0.001,0.016718507624410548,0.23680633113471636,0.2635726622694327,0.23642733773056726,0.2631936688652836
2,1,0.001,0.024999999999999994,0.24001,0.26998,0.23002,0.25999
2,1,0.001,0.037383719530530504,0.2417344931084299,0.2734289862168598,0.2265710137831402,0.25826550689157013
