generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean,DC_mean,CD_mean,CC_mean,DD_var,DC_var,CD_var,CC_var,set_1_mean,set_1_var,opinion_-1_mean,opinion_0_mean,opinion_1_mean,opinion_-1_var,opinion_0_var,opinion_1_var,total_means_mean,total_means_var,total_vars_mean,total_vars_var,total_cooperation_mean,total_cooperation_var,party_cooperation_mean,enemy_cooperation_var,cityblock_ind_mean,cityblock_ind_var,cityblock_party_mean,cityblock_party_var,cityblock_enemy_mean,cityblock_enemy_var,cityblock_ind-party_mean,hamming_ind_mean,hamming_ind_var,hamming_party_mean,hamming_party_var,hamming_enemy_mean,hamming_enemy_var,hamming_ind-party_mean,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.31767019762943344,0.33858682285628766,0.15772202457099863,0.18602095494328028,0.20933657878589032,0.2163109663941385,0.1269488863054344,0.14560684437872365,40.0,0.0,0.5168090837883842,0.0,0.48319091621161575,0.2395256499295537,0.0,0.2395256499295537,-0.033618167576768464,0.9581025997182143,0.041812586993317816,0.028158132618632096,0.3501861196121671,0.2117768651491686,0.17060193614177283,0.17958418347039432,0.04181258699331782,0.028158132618632096,0.04180151726833676,0.02818077112870338,0.041823103232049824,0.028211911594420637,1.1069724981057015e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31805989749977953,0.33707375375009296,0.16024622874993577,0.18462011999981656
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.31635424492476416,0.29529859609452247,0.23871952007113775,0.14962763890957562,0.20880168424835965,0.20112939954314513,0.17475183437661623,0.12109756224998837,40.0,0.0,0.43911731727126013,0.0,0.56088268272874,0.23567425477949047,0.0,0.23567425477949044,0.12176536545747968,0.9426970191179619,0.04356536310676758,0.029456159412531886,0.3922197402470515,0.2217640574804384,0.19107151769688152,0.20114822255016993,0.04356536310676758,0.029456159412531886,0.043360985310354615,0.02921949403590333,0.043759522013359885,0.029784450215668067,0.00020437779641295983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31045477499971236,0.28848586125006065,0.24814578249983857,0.15291358124965818
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.23032593303744817,0.3338693495072584,0.2170826921065171,0.21872202534877636,0.17021827888014923,0.21495741359328108,0.16327276532945964,0.16433355147653345,40.0,0.0,0.480337612203466,0.0,0.5196623877965341,0.23964795985966042,0.0,0.23964795985966036,0.03932477559306801,0.9585918394386412,0.040883872657448674,0.02713546573341834,0.441376988299569,0.23000959137136207,0.21500237943718978,0.22637460886237923,0.040883872657448674,0.02713546573341834,0.04037263927754343,0.02648274446861609,0.04136954436835864,0.027910726970341117,0.0005112333799052385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23736423375001367,0.33771514749988646,0.20565699499993367,0.2192636237497175
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.22580697356627924,0.3610441299419928,0.18407744671791962,0.22907144977380836,0.16798467459223823,0.22260893836760354,0.14350722169261662,0.16963787843470735,40.0,0.0,0.4456706210738544,0.0,0.5543293789261456,0.23656810178957247,0.0,0.23656810178957247,0.10865875785229123,0.9462724071582899,0.04299581513271113,0.028847637835570716,0.4190745039260604,0.2260529349704439,0.20406068011628703,0.21501382380977327,0.04299581513271113,0.028847637835570712,0.041463971088258916,0.026820374089180025,0.04445106697494072,0.031245535940572812,0.0015318440444522091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2372997299998586,0.3521938062497056,0.18629967249978477,0.22420679124987236
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.27853367341479596,0.23236829820176122,0.2701041891608784,0.2189938392225645,0.10429828714455941,0.08356281668553814,0.0856686944376737,0.08548233144737813,40.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0256410256410253,4.93038093154136e-32,0.4697463029628123,0.06355915331131219,0.23827854018110678,0.23146776278170547,1.0256410256410253,4.93038093154136e-32,0.0,0.0,2.0,0.0,1.0256410256410253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2689665724996274,0.23865960250014737,0.27938441374987727,0.21298941124978307
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.2903299172038935,0.27390292089428214,0.22996950389058313,0.20579765801124122,0.19866293220185471,0.19174843284098006,0.17014011781443164,0.15697388132638396,40.0,0.0,0.5191282808817621,0.0,0.4808717191182379,0.24008972437101447,0.0,0.24008972437101447,-0.03825656176352434,0.9603588974840581,0.0391565039499948,0.026565095851929798,0.4386758027302617,0.2305392502349646,0.21371238111142046,0.2249634216188412,0.0391565039499948,0.026565095851929798,0.039147818585355106,0.02658791633274879,0.039164755046402495,0.026610639349162066,8.685364639687283e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30028488999999053,0.2657751912499952,0.23725426375007233,0.196685654999842
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.3681039767720013,0.27203173488712584,0.15173718045904555,0.2081271078818273,0.2248335646179413,0.19054074888089692,0.12298959907888504,0.1581359441415855,40.0,0.0,0.47729405820588566,0.0,0.5227059417941144,0.24014836583832236,0.0,0.24014836583832222,0.0454118835882287,0.9605934633532894,0.03830189829946719,0.02558688952926225,0.3637618461727749,0.21698336275931157,0.1772083152263187,0.18655353094645621,0.03830189829946719,0.02558688952926225,0.038149557237305294,0.025419334259606595,0.03844662230852098,0.025831428817613557,0.00015234106216188915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3514473700000937,0.2793085849995578,0.15474637249969017,0.21449767250037546
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.28764810624177195,0.282237910709005,0.25051913886004784,0.17959484418917532,0.19737375883710936,0.19527778139565813,0.18051498070316238,0.14059770129459323,40.0,0.0,0.5301398802700067,0.0,0.46986011972999336,0.2395997846154534,0.0,0.2395997846154534,-0.06027976054001328,0.9583991384618136,0.038940784873660095,0.025977848189033627,0.4329067816120164,0.2286257658409618,0.21088518796364344,0.22202159364837298,0.038940784873660095,0.025977848189033627,0.03843677944357074,0.025330254622611972,0.039419590032245,0.026749625035361723,0.0005040054300893673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27588067500014085,0.2721543125001551,0.2502416949998527,0.20172331749969802
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.360673092462606,0.17416285004650833,0.21645923797448677,0.24870481951639892,0.22258978359790046,0.1372331376521387,0.1624112040952489,0.17944998507686621,40.0,0.0,0.44056417552421256,0.0,0.5594358244757875,0.23641370166984904,0.0,0.2364137016698491,0.11887164895157508,0.9456548066793964,0.04124592505898707,0.02795689627806856,0.4662510890188141,0.233721774819978,0.22711842612874844,0.23913266289006568,0.041245925058987075,0.027956896278068556,0.03969453405205805,0.025853076390395573,0.04271974651556964,0.030457064867368988,0.00155139100692902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35178714999976596,0.1849309037498175,0.22521319624983194,0.23806875000000033
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.22442531253192707,0.23478532167859326,0.3000326819426288,0.2407566838468509,0.08125737018568456,0.08699096518266021,0.09278114660550164,0.09456758624063523,40.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0256410256410253,4.93038093154136e-32,0.5073292081042178,0.057359493484741966,0.26346151296296444,0.2438676951412534,1.0256410256410253,4.93038093154136e-32,0.0,0.0,2.0,0.0,1.0256410256410253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22218016000007837,0.23366437249974384,0.29421040499986206,0.24994506250016127
