generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean,DC_mean,CD_mean,CC_mean,DD_var,DC_var,CD_var,CC_var,set_1_mean,set_2_mean,set_3_mean,set_1_var,set_2_var,set_3_var,opinion_-13_mean,opinion_-12_mean,opinion_-11_mean,opinion_-10_mean,opinion_-9_mean,opinion_-8_mean,opinion_-7_mean,opinion_-6_mean,opinion_-5_mean,opinion_-4_mean,opinion_-3_mean,opinion_-2_mean,opinion_-1_mean,opinion_0_mean,opinion_1_mean,opinion_2_mean,opinion_3_mean,opinion_4_mean,opinion_5_mean,opinion_6_mean,opinion_7_mean,opinion_8_mean,opinion_9_mean,opinion_10_mean,opinion_11_mean,opinion_12_mean,opinion_13_mean,opinion_-13_var,opinion_-12_var,opinion_-11_var,opinion_-10_var,opinion_-9_var,opinion_-8_var,opinion_-7_var,opinion_-6_var,opinion_-5_var,opinion_-4_var,opinion_-3_var,opinion_-2_var,opinion_-1_var,opinion_0_var,opinion_1_var,opinion_2_var,opinion_3_var,opinion_4_var,opinion_5_var,opinion_6_var,opinion_7_var,opinion_8_var,opinion_9_var,opinion_10_var,opinion_11_var,opinion_12_var,opinion_13_var,total_means_mean,total_means_var,total_vars_mean,total_vars_var,total_cooperation_mean,total_cooperation_var,party_cooperation_mean,enemy_cooperation_var,cityblock_ind_mean,cityblock_ind_var,cityblock_party_mean,cityblock_party_var,cityblock_enemy_mean,cityblock_enemy_var,cityblock_ind-party_mean,hamming_ind_mean,hamming_ind_var,hamming_party_mean,hamming_party_var,hamming_enemy_mean,hamming_enemy_var,hamming_ind-party_mean,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.24233158792602286,0.25788745095069715,0.2498876750062403,0.24989328611703968,0.17690220097383014,0.1839365012043219,0.18014343641087277,0.18059166000103546,40.0,40.0,40.0,0.0,0.0,0.0,0.08244448014197332,0.0,0.105517826082343,0.0,0.0,0.0,0.15698314961204726,0.0,0.09147921991782111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15994382722534295,0.0,0.10543072330940426,0.0,0.0,0.0,0.15745545791914123,0.0,0.14074531579192692,0.07218611589289242,0.0,0.09053153619780022,0.0,0.0,0.0,0.1282986932576755,0.0,0.07937661359442423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12956598508628586,0.0,0.09038815422186486,0.0,0.0,0.0,0.1281691479496835,0.0,0.11649190487795051,0.10682310517649411,2.6639716713442754,0.11295965982132945,0.29136137614691376,0.49968184775034363,0.23351107010140798,0.24343538253469157,0.2562464652156522,0.11501106796947058,0.15282775046926078,0.11502028425325905,0.15306491028048885,0.11500231249987154,0.15299451878493012,-9.216283788478143e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2304155124999831,0.2552562937498713,0.24435092374983375,0.2699772700000023
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.22364455701974684,0.26553884358117535,0.25052579163745603,0.26029080776162183,0.08997072537839187,0.0758520107850789,0.09016438395980528,0.09204209885306333,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.5185156003958569,0.0610328430931921,0.24885936893801233,0.2696562314578446,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264300875000691,0.26968822249995333,0.2415263662498505,0.26235532375008275
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.26662748102069556,0.2140106478327418,0.2413210296488317,0.27804084149773106,0.18802795981093567,0.16108454947945697,0.17553579828195884,0.19280361835191642,40.0,40.0,40.0,0.0,0.0,0.0,0.10204467210862933,0.0,0.13398798283400093,0.0,0.0,0.0,0.14587888356228423,0.0,0.09825357648591242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11781618651021189,0.0,0.16285892011894887,0.0,0.0,0.0,0.11773021429276588,0.0,0.12142956408724644,0.08748328195462482,0.0,0.11174734713230997,0.0,0.0,0.0,0.12025453188447437,0.0,0.08500212073390667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10009056552921021,0.0,0.13136749111557722,0.0,0.0,0.0,0.09996043931005702,0.0,0.10271273941724027,0.03931433392698148,2.672919246256454,0.11623505123480485,0.31371202964435313,0.5190475791056188,0.23327748497848472,0.2528704970983627,0.26617708200725604,0.1180843648072789,0.1571485800976276,0.11808445279647779,0.1573403652450969,0.11808428121753992,0.15736180915467596,-8.79891988894777e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2576319812500543,0.23441522874985182,0.2303100737498295,0.2776427162502519
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.22670935268281375,0.28502117999882337,0.28793224511487525,0.20033722220348765,0.0860912107521323,0.09958962087640763,0.09746283261727531,0.07949743565617916,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.4867766276577087,0.052286085650357854,0.23787486869356148,0.24890175896414723,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23126659250001097,0.287405513750062,0.27009171500004425,0.21123617874979406
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.26465779918567783,0.23778446873419617,0.2151326172148546,0.2824251148652714,0.18710709898054065,0.17407952269732646,0.16204811579322884,0.1953927090203413,40.0,40.0,40.0,0.0,0.0,0.0,0.11117804937899725,0.0,0.14263816290899095,0.0,0.0,0.0,0.07851512758249292,0.0,0.1350052091663773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17479929584448356,0.0,0.11855105174716378,0.0,0.0,0.0,0.09093963522557581,0.0,0.14837346814591845,0.09483559551069463,0.0,0.11814551421969006,0.0,0.0,0.0,0.0692013523496146,0.0,0.11230534852703127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13948543662756197,0.0,0.10018283714051061,0.0,0.0,0.0,0.07869718238976046,0.0,0.12183231463703618,0.06012956610391297,2.9546374977181795,0.12118896605930247,0.3499840924648398,0.49819593623507863,0.2337526488843791,0.24270922215243165,0.2554867140826469,0.11794295455872474,0.15776478695597174,0.11797092882617646,0.15800835801989663,0.11791637900464558,0.1579226402899732,-2.797426745172109e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273410579999789,0.24689774375001514,0.21460176999985217,0.26508990624997913
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.24437255309041372,0.24356967674612906,0.27023460443141084,0.24182316573204632,0.08840069815896487,0.08910409271138688,0.0927126533996466,0.09117777337069553,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.4983834625185826,0.0601061684458582,0.24946404187450483,0.24891942064407774,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25917029499988953,0.23403722375009003,0.26442289625008253,0.24236958500006003
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.25561993302111485,0.25446318725204514,0.2754915055282497,0.2144253741985903,0.1833530741288613,0.18295421193761316,0.19267583300563562,0.16201999738711448,40.0,40.0,40.0,0.0,0.0,0.0,0.13370437590531248,0.0,0.11640878519951194,0.0,0.0,0.0,0.12351965841557451,0.0,0.1537387678478462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1421220087709995,0.0,0.0978620987298834,0.0,0.0,0.0,0.14515403221366488,0.0,0.08749027291720705,0.11173708678727866,0.0,0.09873009529498471,0.0,0.0,0.0,0.1043459704636717,0.0,0.12570163317670333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176798006535256,0.0,0.08493004413484977,0.0,0.0,0.0,0.12041107419907583,0.0,0.07695512866406443,-0.12393786255900766,2.6559086935653826,0.1008082572200541,0.2571805700535633,0.49032611021217715,0.2338503988081989,0.23887612132074734,0.2514499888914298,0.10846401263519019,0.1423806124176092,0.10850218139900161,0.14272598248885218,0.10842775230956933,0.14240130227039594,-3.816876381143605e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23961321749997055,0.24525478750009974,0.2988108949998434,0.2163210999999342
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.2888959825613343,0.18113299549261136,0.2714414085310329,0.25852961341502145,0.10141081221348294,0.0747448593850313,0.10219772052327569,0.09842584569094834,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.48365901597193495,0.06626958960204084,0.25819099715890476,0.22546801881303025,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879038250001785,0.18358448999978413,0.274862080000182,0.2536496049999051
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.29832693064850385,0.2333617898132339,0.2390083408884255,0.22930293864983675,0.20180855333878953,0.171665483765846,0.17466533255520741,0.16974301645405818,40.0,40.0,40.0,0.0,0.0,0.0,0.08386160367435536,0.0,0.1284881873062118,0.0,0.0,0.0,0.18729965348335256,0.0,0.10500892194394877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13297583427912033,0.0,0.09604091549772693,0.0,0.0,0.0,0.11914365726979682,0.0,0.14718122654548743,0.07356719589956708,0.0,0.10779605945836303,0.0,0.0,0.0,0.1473821027171738,0.0,0.09033967146345452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11088581380707352,0.0,0.08345595568375526,0.0,0.0,0.0,0.10122261828264323,0.0,0.12107216461993738,0.061388688256183994,2.7367213847170424,0.11061829542149071,0.30677174261133133,0.4684873378143312,0.2331779619617608,0.22823740586240437,0.24024993195192682,0.11453642027504218,0.15396505662097346,0.11452102316988468,0.15404500733206453,0.1145510475249418,0.1542892067319417,1.5397105157501622e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060148499999942,0.23763544125001682,0.2286363499998826,0.22771335874985707
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.25861512313249313,0.23528895220616933,0.29011044638275296,0.21598547827858455,0.08413130197567752,0.09074304377606236,0.10161266786965141,0.0848987111019529,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.47798231083858955,0.053160149905389774,0.2465595259746133,0.23142278486397633,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25358299249988975,0.24604395249976846,0.26956035625012364,0.23081269874996263
