generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean,DC_mean,CD_mean,CC_mean,DD_var,DC_var,CD_var,CC_var,set_1_mean,set_1_var,opinion_-1_mean,opinion_0_mean,opinion_1_mean,opinion_-1_var,opinion_0_var,opinion_1_var,total_means_mean,total_means_var,total_vars_mean,total_vars_var,total_cooperation_mean,total_cooperation_var,party_cooperation_mean,enemy_cooperation_var,cityblock_ind_mean,cityblock_ind_var,cityblock_party_mean,cityblock_party_var,cityblock_enemy_mean,cityblock_enemy_var,cityblock_ind-party_mean,hamming_ind_mean,hamming_ind_var,hamming_party_mean,hamming_party_var,hamming_enemy_mean,hamming_enemy_var,hamming_ind-party_mean,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.30605934688559183,0.2679718906682283,0.22009471971696,0.20587404272921986,0.2052841129243914,0.18918101987786545,0.16517796051567465,0.15737290627982065,40.0,0.0,0.5413493046472607,0.0,0.4586506953527391,0.23833469272270105,0.0,0.23833469272270116,-0.08269860929452169,0.9533387708908047,0.0408433047109845,0.027208191126685884,0.42895966224440624,0.22982776277408118,0.20897923924474318,0.21998042299966308,0.040843304710984504,0.027208191126685887,0.040850882818225805,0.02725481292722907,0.040836105509105255,0.027230989427538807,-7.578107241311874e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947500349999087,0.2833716125000773,0.21429356625003051,0.2075847862498897
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.28424833559731466,0.321219071043385,0.20197698877905618,0.19255560458024418,0.19589496133948325,0.2096805950962641,0.15468404568181704,0.14837861121681103,40.0,0.0,0.4707233891264785,0.0,0.5292766108735215,0.23959128004286478,0.0,0.23959128004286478,0.05855322174704324,0.9583651201714591,0.03918610594265223,0.026418107620827226,0.3986142567009173,0.22333456150027525,0.19418848657642312,0.20442577012449423,0.03918610594265224,0.026418107620827226,0.03901961625329617,0.026223527389914954,0.03934427114754049,0.026695585375203723,0.0001664896893560612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786665687501329,0.3415602774997442,0.19605283249975064,0.18372032124989027
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.26830576009412443,0.3202166780435179,0.23565268829707287,0.17582487356528478,0.18904176204542633,0.21001038892701174,0.17401364015629656,0.1388644089238413,40.0,0.0,0.5047768219568433,0.0,0.49522317804315674,0.2400921495401693,0.0,0.2400921495401693,-0.00955364391368643,0.9603685981606777,0.04055403392933429,0.027375591205698484,0.41633958958369804,0.22743020766629968,0.20280299108359454,0.21353659850010348,0.0405540339293343,0.02737559120569849,0.040085353913386766,0.026776145448103958,0.04099927994448445,0.028093618728425963,0.0004686800159475269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28352802624977447,0.31708356375001917,0.22332497124978296,0.17606343874985017
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.26753489763695015,0.29114080188106656,0.18403160227602208,0.25729269820596123,0.18858036752139093,0.19882289686127358,0.14400771883635163,0.18401194248742211,40.0,0.0,0.5995896125227993,0.0,0.4004103874772007,0.23003703883905363,0.0,0.23003703883905363,-0.1991792250455986,0.9201481553562145,0.04120977648549675,0.027805156971842573,0.4460207314532642,0.23147064431703307,0.21719648679392742,0.2288242446593368,0.04120977648549675,0.027805156971842573,0.03968709633317301,0.025756135966882334,0.042656322630204295,0.03021323414413671,0.0015226801523237376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748898662498021,0.30728273000032974,0.175099311249649,0.24272809249984711
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.2466059946330003,0.25141619714354463,0.28041472747695956,0.2215630807464955,0.0927470208658177,0.08808459271887252,0.10192845669694364,0.08343266008538866,40.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0256410256410253,4.93038093154136e-32,0.48710675278181853,0.05952449256893713,0.24455329118578586,0.2425534615960327,1.0256410256410253,4.93038093154136e-32,0.0,0.0,2.0,0.0,1.0256410256410253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25071192000028575,0.2634089199998581,0.26613766374997816,0.21974149625015832
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.36688143378436483,0.2669917851671231,0.1875938965225613,0.1785328845259509,0.22463047846227396,0.18862547540134983,0.14609825369212312,0.13997720605262187,40.0,0.0,0.504716774737957,0.0,0.4952832252620431,0.24078676981261327,0.0,0.2407867698126132,-0.009433549475913926,0.9631470792504531,0.03770664861743691,0.025119950086137842,0.36835659926508924,0.21868853587317066,0.17945522877670386,0.18890137048838535,0.03770664861743691,0.025119950086137842,0.03769690024490905,0.02514696465483068,0.03771590957133835,0.025157999613957194,9.748372527849777e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612105412494845,0.27331251125005557,0.19032223999972803,0.17515470749981157
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.23734214653654742,0.2727030112387216,0.2302389344311703,0.25971590779356063,0.17440940467429653,0.1910866280090041,0.1709133975575567,0.18496385925550263,40.0,0.0,0.5431510476027195,0.0,0.4568489523972804,0.2386050068484537,0.0,0.2386050068484537,-0.08630209520543916,0.9544200273938148,0.039109716915557036,0.026024783758670886,0.49221564886551245,0.23437331485864374,0.23979353564537345,0.25242211322013897,0.03910971691555704,0.026024783758670882,0.038944185555732376,0.025837517947948772,0.03926697170739046,0.026292362663936825,0.0001655313598246564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565833625001444,0.2709744312499698,0.22349333750008793,0.24894886874982816
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.2834356148091325,0.2885483506362027,0.23605366327479652,0.19196237127986826,0.19539337272522747,0.1975833126362297,0.17316383179919728,0.14839159683346828,40.0,0.0,0.4271861623785465,0.0,0.5728138376214534,0.23587726857573352,0.0,0.23587726857573357,0.14562767524290693,0.9435090743029343,0.03618826494110779,0.02372617206467494,0.4298377328508952,0.22975759611168856,0.20939411710630976,0.2204436157445854,0.03618826494110779,0.02372617206467494,0.035727571699345435,0.023140569681594347,0.03662592352078202,0.024424009029502147,0.0004606932417623566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768104275000096,0.2737809875001364,0.2617565162499912,0.18765206874973472
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.33135662048018777,0.2648242172319879,0.16576913106838156,0.23805003121944276,0.2134890059085483,0.18635571802263892,0.1317290912623668,0.17414809740487688,40.0,0.0,0.4698182377878757,0.0,0.5301817622121243,0.23920760291527424,0.0,0.23920760291527424,0.060363524424248666,0.956830411661097,0.040539370682285684,0.027177518290939146,0.40794678285623287,0.2260047329512458,0.1986554678453515,0.20929131501088136,0.040539370682285684,0.02717751829093915,0.038987973272597974,0.025087610761156683,0.042013198221488995,0.029658601282695832,0.0015513974096876986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34496970249957465,0.2489980025000968,0.17783460624974834,0.22819768874997692
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.27095427105809605,0.24450624891631953,0.24455416141365766,0.23998531861192673,0.09180173759725263,0.08740980775985378,0.09278534547933277,0.08881875639417902,40.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0256410256410253,4.93038093154136e-32,0.4845148959813661,0.061451632221300255,0.2360576818643169,0.24845721411704932,1.0256410256410253,4.93038093154136e-32,0.0,0.0,2.0,0.0,1.0256410256410253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26749063000007295,0.26465888999987813,0.23341224124985738,0.23443823874995298
